№,YouTube ID,Исходное название,Ссылка,Вкладка,Текущие плейлисты,Основной плейлист,Порядок в плейлисте,Дополнительные плейлисты,Визуальная рубрика,Акцент HEX,Язык разработки,Формат,Номер урока,Текст обложки — предложение,Статус обложки,Что проверить,Примечания,Готовый файл,Основание классификации
1,ex8ibsNSCiA,Expo Electronica 2026: Как MOKO SE превратился в RF-SE для РФ | Партнерство с RFTEX,https://www.youtube.com/watch?v=ex8ibsNSCiA,Видео,MOKO - Новинки видео; МОКО - Промо ролики; MOKO - Презентации и интервью,"MOKO — компания, выставки и интервью",1,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,MOKO SE → RF-SE,Готово · утверждённый образец,Тематика по метаданным; содержание не просмотрено полностью,,thumbnails/ex8ibsNSCiA.jpg,"Название, текущие плейлисты и исходная обложка"
2,AFPlbt1Zhhw,Простой автоматизированный тест источника питания с помощью MOKO SE #3 Стрим с Олегом Германом,https://www.youtube.com/watch?v=AFPlbt1Zhhw,Видео,MOKO - Новинки видео; MOKO - Презентации и интервью,"Автоматизация измерений — стенды, испытания и поверка",3,Стримы MOKO — разработка и измерения; MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Стрим,,Тест источника питания,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
3,OmXJkxET17k,Автоматизация измерений с Олегом Герман стрим #2,https://www.youtube.com/watch?v=OmXJkxET17k,Видео,MOKO - Новинки видео; MOKO - Презентации и интервью,"Автоматизация измерений — стенды, испытания и поверка",10,Стримы MOKO — разработка и измерения; MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Стрим,,Автоматизация измерений,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
4,a6cwVJ20iwU,Стрим-интервью: Олег Герман и Иван Анищенко о MOKO SE + Новогодняя распаковка подарка!,https://www.youtube.com/watch?v=a6cwVJ20iwU,Видео,MOKO - Новинки видео; MOKO - Презентации и интервью,"MOKO — компания, выставки и интервью",2,Стримы MOKO — разработка и измерения,Компания · События,#ED6262,Не подтверждён / не применимо,Стрим / интервью,,Разговор о MOKO SE,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
5,OhPQyqKovhA,Стрим #4.2:  Формируем запись в таблицу и структурируем панель подключения к приборам.,https://www.youtube.com/watch?v=OhPQyqKovhA,Видео,MOKO - Новинки видео; MOKO - Уроки по программированию и не только,"Разработка ПО — практика, инструменты и стримы",1,"Стримы MOKO — разработка и измерения; LabVIEW — драйверы, утилиты и плагины",Разработка · Практика,#FF9A48,LabVIEW,Стрим,,Запись в таблицу,В очереди,Тематика по метаданным; содержание не просмотрено полностью," Язык LabVIEW подтверждён описанием автора; основной плейлист практической разработки сохранён, LabVIEW добавлен как дополнительный.",,Описание автора / хэштег #labview и исходная обложка
6,feEv04DYWbA,Стрим #4.1: Разработка плагина для скоростного считывания данных с устройств.,https://www.youtube.com/watch?v=feEv04DYWbA,Видео,MOKO - Новинки видео; MOKO - Уроки по программированию и не только,"Разработка ПО — практика, инструменты и стримы",2,"Стримы MOKO — разработка и измерения; LabVIEW — драйверы, утилиты и плагины",Разработка · Практика,#FF9A48,LabVIEW,Стрим,,Пишем плагин,Готово · утверждённый образец,Тематика по метаданным; содержание не просмотрено полностью," Язык LabVIEW подтверждён описанием автора; основной плейлист практической разработки сохранён, LabVIEW добавлен как дополнительный.",thumbnails/feEv04DYWbA.jpg,Описание автора / хэштег #labview и исходная обложка
7,l3xewCeguhM,Стрим #3: Автоматическое обновление MOKO SE и логирование времени выполнения программы (перезалив),https://www.youtube.com/watch?v=l3xewCeguhM,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,"Разработка ПО — практика, инструменты и стримы",3,Стримы MOKO — разработка и измерения,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Стрим,,Обновление MOKO SE,В очереди,Дубликат: требуется решение; Тематика по метаданным; содержание не просмотрено полностью,Оригинал / перезалив одного стрима. Сверить содержание и выбрать основную версию для плейлиста. Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию.,,"Название, текущие плейлисты и исходная обложка"
8,Szt2Qw5Gb7o,Стрим #3: Автоматическое обновление MOKO SE и логирование времени выполнения программы,https://www.youtube.com/watch?v=Szt2Qw5Gb7o,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,"Разработка ПО — практика, инструменты и стримы",4,Стримы MOKO — разработка и измерения,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Стрим,,Обновление MOKO SE,В очереди,Дубликат: требуется решение; Тематика по метаданным; содержание не просмотрено полностью,Оригинал / перезалив одного стрима. Сверить содержание и выбрать основную версию для плейлиста. Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию.,,"Название, текущие плейлисты и исходная обложка"
9,nnktD99huyE,Тестирование светодиодной фары с помощью MOKO SE,https://www.youtube.com/watch?v=nnktD99huyE,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,"Автоматизация измерений — стенды, испытания и поверка",4,MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Тест LED-фары,Готово · утверждённый образец,Тематика по метаданным; содержание не просмотрено полностью,,thumbnails/nnktD99huyE.jpg,"Название, текущие плейлисты и исходная обложка"
10,L8DhEf9Mquo,Стрим #2: Обновления в инициализации драйверов и дополнение к раскрутке ошибок,https://www.youtube.com/watch?v=L8DhEf9Mquo,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,"Разработка ПО — практика, инструменты и стримы",5,Стримы MOKO — разработка и измерения,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Стрим,,Инициализация драйверов,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию.,,"Название, текущие плейлисты и исходная обложка"
