№;Файл PNG;Название;Обычный эмодзи для привязки;Раздел
1;png_100/01_youtube.png;YouTube;▶️;Общение
2;png_100/02_telegram.png;Telegram;✈️;Общение
3;png_100/03_like.png;Лайк;👍;Реакции
4;png_100/04_dislike.png;Дизлайк;👎;Реакции
5;png_100/05_heart.png;Сердце;❤️;Реакции
6;png_100/06_fire.png;Огонь;🔥;Реакции
7;png_100/07_smile.png;Улыбка;🙂;Реакции
8;png_100/08_laugh.png;Смех;😂;Реакции
9;png_100/09_wink.png;Подмигивание;😉;Реакции
10;png_100/10_thanks.png;Спасибо;🙏;Реакции
11;png_100/11_done.png;Готово;✅;Статусы
12;png_100/12_error.png;Ошибка;❌;Статусы
13;png_100/13_question.png;Вопрос;❓;Статусы
14;png_100/14_attention.png;Внимание;⚠️;Статусы
15;png_100/15_wait.png;Ожидание;⏳;Статусы
16;png_100/16_idea.png;Идея;💡;Статусы
17;png_100/17_code.png;Код;💻;Инженерия
18;png_100/18_python.png;Python;🐍;Инженерия
19;png_100/19_labview.png;LabVIEW;🧩;Инженерия
20;png_100/20_measurement.png;Измерения;📈;Инженерия
21;png_100/21_hardware.png;Оборудование;⚙️;Инженерия
22;png_100/22_moko_se.png;MOKO SE;🤖;Инженерия
23;png_100/23_launch.png;Запуск;🚀;Инженерия
24;png_100/24_moko.png;MOKO;🔺;Инженерия
