№;Файл PNG;Название;Обычный эмодзи для привязки
1;png_100/01_about.png;О проекте;🔺
2;png_100/02_news.png;Новости;📰
3;png_100/03_forum.png;Форум;💬
4;png_100/04_soft.png;Софт;🖥️
5;png_100/05_docs.png;Документация;📄
6;png_100/06_lifehack.png;Лайфхаки;✨
7;png_100/07_projects.png;Проекты;📐
8;png_100/08_books.png;Литература;📚
9;png_100/09_gallery.png;Галерея;🖼️
10;png_100/10_drivers.png;Драйвера;🔌
11;png_100/11_suggest.png;Предложения;📮
12;png_100/12_code.png;Код;💻
13;png_100/13_video.png;Видео;🎬
14;png_100/14_archive.png;Архив;🗃️
15;png_100/15_live.png;Эфир;📡
16;png_100/16_question.png;Вопрос;❓
17;png_100/17_tests.png;Испытания;🧪
18;png_100/18_moko_se.png;MOKO SE;📏
